Date,Open,High,Low,Close,Volume,,,
2023-12-28,4048.90,4058.399902,4015,4044.65,403866,2023-12-28,,
2023-12-29,4045.10,4098.899902,3984.199951,4082.65,224994,2023-12-29,,
2024-01-01,4075.00,4080,4042.100098,4064.75,131614,2024-01-01,,
2024-01-02,4070.00,4155,4006.25,4103.35,843252,2024-01-02,,
2024-01-03,4080.00,4080,3919.399902,3932.35,964470,2024-01-03,,
2024-01-04,3965.00,3965,3888,3897.85,754490,2024-01-04,,
2024-01-05,3902.00,3940,3810,3863.50,513823,2024-01-05,,
2024-01-08,3893.95,3919.899902,3791,3804.40,692896,2024-01-08,,
2024-01-09,3810.10,3850,3787,3810.75,440688,2024-01-09,,
2024-01-10,3818.90,3837.949951,3792.350098,3822.00,338253,2024-01-10,,
2024-01-11,3845.00,3845,3805,3821.35,213492,2024-01-11,,
2024-01-12,3827.95,3848,3794.100098,3841.00,456627,2024-01-12,,
2024-01-15,3924.95,3933,3851,3858.25,505101,2024-01-15,,
2024-01-16,3860.00,3865,3807,3828.30,445672,2024-01-16,,
2024-01-17,3750.00,3811.899902,3750,3786.45,516399,2024-01-17,,
2024-01-18,3786.45,3790,3740,3748.85,489754,2024-01-18,,
2024-01-19,3762.95,3768.699951,3704.5,3731.70,565533,2024-01-19,,
2024-01-23,3675.00,3714,3651.050049,3675.90,299750,2024-01-23,,
2024-01-24,3675.90,3748,3646.050049,3727.75,316651,2024-01-24,,
2024-01-25,3731.00,3750,3695.5,3734.25,200269,2024-01-25,,
2024-01-29,3700.00,3764.199951,3689,3749.40,216522,2024-01-29,,
2024-01-30,3740.00,3772.850098,3680,3687.30,263265,2024-01-30,,
2024-01-31,3680.00,3821.399902,3652.75,3792.70,353880,2024-01-31,,
2024-02-01,3810.00,3826.600098,3772,3808.20,188297,2024-02-01,,
2024-02-02,3808.20,3815,3770,3784.30,186318,2024-02-02,,
2024-02-05,3785.00,3791.550049,3720.050049,3729.60,216052,2024-02-05,,
2024-02-06,3730.00,3737.699951,3702.050049,3727.40,148110,2024-02-06,,
2024-02-07,3759.00,3785,3703,3717.70,173087,2024-02-07,,
2024-02-08,3718.95,3787.949951,3715,3731.05,261689,2024-02-08,,
2024-02-09,3732.15,3758,3699,3719.20,306425,2024-02-09,,
2024-02-12,3719.20,3734.949951,3644.300049,3675.60,199148,2024-02-12,,
2024-02-13,3685.05,3728,3660.899902,3703.20,294135,2024-02-13,,
2024-02-14,3700.00,3739,3691.050049,3722.40,257694,2024-02-14,,
2024-02-15,3722.40,3729.949951,3671.350098,3678.60,507420,2024-02-15,,
2024-02-16,3698.60,3724.649902,3665.100098,3693.30,726598,2024-02-16,,
2024-02-19,3673.30,3722,3673.300049,3707.25,226669,2024-02-19,,
2024-02-20,3701.00,3784,3691.399902,3756.20,316518,2024-02-20,,
2024-02-21,3752.00,3889,3752,3835.75,592509,2024-02-21,,
2024-02-22,3860.00,3869,3801.850098,3851.45,237411,2024-02-22,,
2024-02-23,3860.00,3872,3828.649902,3840.55,226731,2024-02-23,,
2024-02-26,3840.55,3859,3796.25,3850.35,346646,2024-02-26,,
2024-02-27,3859.00,3885,3818.050049,3852.20,256237,2024-02-27,,
2024-02-28,3856.40,3948.300049,3838.100098,3850.00,505405,2024-02-28,,
2024-02-29,3818.40,3940,3797.050049,3918.90,499782,2024-02-29,,
2024-03-01,3925.00,3936.75,3867,3884.15,261674,2024-03-01,,
2024-03-04,3870.95,3878.649902,3831,3846.35,153055,2024-03-04,,
2024-03-05,3830.00,3884.350098,3811.300049,3834.50,185829,2024-03-05,,
2024-03-06,3834.50,3895,3825.149902,3888.65,308886,2024-03-06,,
2024-03-07,3888.65,3942.649902,3877.199951,3925.95,330459,2024-03-07,,
2024-03-11,3948.85,4025,3936.050049,3979.65,689781,2024-03-11,,
2024-03-12,3999.00,4042,3900,4031.70,499999,2024-03-12,,
2024-03-13,4055.00,4056,3932.050049,3967.80,521699,2024-03-13,,
2024-03-14,3966.95,4040,3890,4019.25,355226,2024-03-14,,
2024-03-15,4019.45,4035,3904,3932.10,348203,2024-03-15,,
2024-03-18,3932.10,4019,3918.699951,4010.55,230448,2024-03-18,,
2024-03-19,4008.00,4046.050049,3983.050049,4014.10,451330,2024-03-19,,
2024-03-20,4015.00,4068,4009.25,4056.35,346426,2024-03-20,,
2024-03-21,4117.00,4238,4091.5,4163.10,1130832,2024-03-21,,
2024-03-22,4159.80,4330.5,4151.149902,4297.60,921652,2024-03-22,,
2024-03-26,4315.75,4509.450195,4297.25,4486.20,1838678,2024-03-26,,
2024-03-27,4480.50,4533,4387.049805,4420.55,814043,2024-03-27,,
2024-03-28,4424.95,4560,4397.049805,4525.60,892567,2024-03-28,,
2024-04-01,4570.00,4592,4456.299805,4483.30,410983,2024-04-01,,
2024-04-02,4503.00,4563,4400.049805,4411.85,442907,2024-04-02,,
2024-04-03,4455.00,4494.450195,4415,4460.90,257333,2024-04-03,,
2024-04-04,4562.00,4715,4540,4645.05,1564457,2024-04-04,,
2024-04-05,4645.00,4685,4557,4619.25,418022,2024-04-05,,
2024-04-08,4648.15,4748,4640,4672.80,461322,2024-04-08,,
2024-04-09,4671.95,4747.799805,4622,4716.15,285672,2024-04-09,,
2024-04-10,4736.60,4831.850098,4711,4754.00,728446,2024-04-10,,
