Date,AsianPaints Open,AsianPaints High,AsianPaints Low,AsianPaints Close,AsianPaints Volume,DMART Open,DMART High,DMART Low,DMART Close,DMART Volume,,DROP DOWN,,,,,,,,,,,,,,,,,,,,,,Date,AsianPaints High,DMART Low
2024-03-28,2807.882382,2840.516581,2791.986137,2819.470215,1864623,4424.95,4560,4397.049805,4525.60,892567,,,,,,,,,,,,,,,,,,,,,,,,2024-03-28,2840.516581,4397.049805
2024-04-01,2833.534052,2858.78969,2825.016609,2843.487793,558086,4570.00,4592,4456.299805,4483.30,410983,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2858.78969,4456.299805
2024-04-02,2846.508517,2864.682527,2828.631438,2846.656982,562473,4503.00,4563,4400.049805,4411.85,442907,,,,,,,,,,,,,,,,,,,,,,,,2024-04-02,2864.682527,4400.049805
2024-04-03,2817.737004,2856.908053,2817.737004,2841.85376,816676,4455.00,4494.450195,4415,4460.90,257333,,,,,,,,,,,,,,,,,,,,,,,,2024-04-03,2856.908053,4415
2024-04-04,2842.497275,2915.045333,2823.926953,2890.334473,1831347,4562.00,4715,4540,4645.05,1564457,,,,,,,,,,,,,,,,,,,,,,,,2024-04-04,2915.045333,4540
2024-04-05,2895.979824,2899.693889,2852.401468,2855.818359,1155672,4645.00,4685,4557,4619.25,418022,,,,,,,,,,,,,,,,,,,,,,,,2024-04-05,2899.693889,4557
2024-04-08,2880.133051,2881.073899,2846.260833,2864.286377,570695,4648.15,4748,4640,4672.80,461322,,,,,,,,,,,,,,,,,,,,,,,,2024-04-08,2881.073899,4640
2024-04-09,2865.276815,2888.502049,2817.736792,2829.770264,1017670,4671.95,4747.799805,4622,4716.15,285672,,,,,,,,,,,,,,,,,,,,,,,,2024-04-09,2888.502049,4622
2024-04-10,2855.669904,2871.318544,2830.612301,2868.990967,740495,4736.60,4831.850098,4711,4754.00,728446,,,,,,,,,,,,,,,,,,,,,,,,2024-04-10,2871.318544,4711
2024-04-12,2862.305561,2865.276812,2817.736789,2827.145752,1766311,4753.90,4806.75,4725,4765.05,676863,,,,,,,,,,,,,,,,,,,,,,,,2024-04-12,2865.276812,4725
2024-04-15,2803.078702,2826.155471,2785.3999,2817.142578,884519,4680.00,4736.549805,4620.600098,4686.80,358707,,,,,,,,,,,,,,,,,,,,,,,,2024-04-15,2826.155471,4620.600098
2024-04-16,2800.553038,2814.220844,2792.976443,2802.880615,911249,4650.00,4689.299805,4611.350098,4644.30,245231,,,,,,,,,,,,,,,,,,,,,,,,2024-04-16,2814.220844,4611.350098
2024-04-18,2827.640969,2831.800673,2773.267164,2780.794189,1732434,4644.30,4694.299805,4605,4627.10,417772,,,,,,,,,,,,,,,,,,,,,,,,2024-04-18,2831.800673,4605
2024-04-19,2763.263943,2795.056432,2739.642397,2781.63623,1337807,4766.95,4836.700195,4651.100098,4696.00,778084,,,,,,,,,,,,,,,,,,,,,,,,2024-04-19,2795.056432,4651.100098
2024-04-22,2819.321669,2819.321669,2787.083541,2814.617188,676040,4743.00,4815.950195,4692.049805,4758.00,257706,,,,,,,,,,,,,,,,,,,,,,,,2024-04-22,2819.321669,4692.049805
2024-04-23,2824.669884,2850.371163,2816.746547,2847.350342,929062,4804.50,4890,4773,4800.55,458148,,,,,,,,,,,,,,,,,,,,,,,,2024-04-23,2850.371163,4773
2024-04-24,2855.323091,2855.471799,2832.593066,2840.268799,718441,4820.00,4835.700195,4778,4797.55,199877,,,,,,,,,,,,,,,,,,,,,,,,2024-04-24,2855.471799,4778
2024-04-25,2837.545326,2842.398274,2801.939876,2834.029297,1594152,4801.00,4817.649902,4615.149902,4657.10,462020,,,,,,,,,,,,,,,,,,,,,,,,2024-04-25,2842.398274,4615.149902
2024-04-26,2842.497401,2850.618774,2809.863202,2816.89502,625507,4657.05,4719.950195,4531.5,4553.15,254510,,,,,,,,,,,,,,,,,,,,,,,,2024-04-26,2850.618774,4531.5
2024-04-29,2816.895017,2846.409499,2811.794465,2840.7146,566219,4560.50,4562.450195,4450,4483.80,385596,,,,,,,,,,,,,,,,,,,,,,,,2024-04-29,2846.409499,4450
2024-04-30,2827.640955,2884.094732,2827.640955,2848.340576,1290649,4455.15,4650,4455.149902,4603.80,637696,,,,,,,,,,,,,,,,,,,,,,,,2024-04-30,2884.094732,4455.149902
